time/time_elapsed,time/iterations,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/policy_loss,train/n_updates,train/entropy_loss,time/fps
41,3200,0.0007,32.0,16000,0.0005711100529879332,-0.9999270699999999,-63.98162841796875,-0.01690175198018551,3199,-0.6862068176269531,389
42,3300,0.0007,32.0,16500,0.0023833054583519697,-0.9999399800000001,-210.4149932861328,0.08429709821939468,3299,-0.6758478283882141,388
43,3400,0.0007,32.0,17000,8.530929335393012e-05,-0.99997376,0.5513037443161011,-7.646691665286198e-05,3399,-0.4302688539028168,388
45,3500,0.0007,32.0,17500,0.004979459103196859,-0.99997222,-12929.080078125,0.05136198550462723,3499,-1.1472080945968628,388
46,3600,0.0007,32.0,18000,0.0006093693082220852,-0.99997218,-14.115070343017578,0.0250417347997427,3599,-1.1014467477798462,387
47,3700,0.0007,32.0,18500,0.0008727297536097467,-0.9999447599999999,-538.1047973632812,-0.028507381677627563,3699,-1.1228227615356445,387
49,3800,0.0007,32.0,19000,3.616689355112612e-05,-0.9999254499999999,-53.931636810302734,0.0040926155634224415,3799,-0.5706167221069336,387
50,3900,0.0007,32.0,19500,0.0016507372492924333,-0.99992976,-530.5823974609375,0.0015770163154229522,3899,-0.15374323725700378,386
51,4000,0.0007,32.0,20000,5.148526543052867e-05,-0.99989207,-34.77741622924805,0.0024146728683263063,3999,-1.0829938650131226,387
52,4100,0.0007,32.0,20500,0.0001354341220576316,-0.99991512,-1632.37060546875,-0.0037456841673702,4099,-1.0040072202682495,386
54,4200,0.0007,32.0,21000,0.0007652236963622272,-0.9999151599999999,-56.196353912353516,0.0007985726115293801,4199,-0.5172681212425232,386
55,4300,0.0007,32.0,21500,6.035681508365087e-05,-0.9999215799999999,-0.5789222717285156,0.004922469612210989,4299,-1.1386479139328003,386
56,4400,0.0007,32.0,22000,4.233594154356979e-05,-0.99994278,-68.87150573730469,0.0027826649602502584,4399,-1.1037062406539917,386
58,4500,0.0007,32.0,22500,0.0012281889794394374,-0.9999274300000001,-104.10271453857422,-0.03362501785159111,4499,-1.1198452711105347,386
59,4600,0.0007,32.0,23000,4.6277047658804804e-05,-0.99992743,0.5924191474914551,0.006644532084465027,4599,-0.888820469379425,385
60,4700,0.0007,32.0,23500,0.0005576728144660592,-0.9999651199999999,-359.9264221191406,0.0012056140694767237,4699,-0.2752382755279541,385
62,4800,0.0007,32.0,24000,9.949394552677404e-06,-0.9999632399999999,0.0,-0.0008563452283851802,4799,-0.701882541179657,385
63,4900,0.0007,32.0,24500,0.00024479295825585723,-0.9999689100000001,0.0,0.004836540203541517,4899,-0.8125228881835938,384
64,5000,0.0007,32.0,25000,0.0006591760320588946,-0.9999624,-46.139400482177734,0.0019219719106331468,4999,-0.41606974601745605,384
66,5100,0.0007,32.0,25500,1.397316373186186e-05,-0.9999840599999998,-97.38935852050781,0.0018415696686133742,5099,-1.3347162008285522,384
67,5200,0.0007,32.0,26000,6.68283537379466e-05,-0.9999647500000001,-229.79441833496094,0.002292865654453635,5199,-1.0356457233428955,384
69,5300,0.0007,32.0,26500,5.3925043175695464e-05,-0.9999647500000001,-1878.3013916015625,0.006470581982284784,5299,-1.2468498945236206,383
70,5400,0.0007,32.0,27000,0.00014795268361922354,-0.99994875,-2.6628148555755615,0.008826695382595062,5399,-1.2647403478622437,383
71,5500,0.0007,32.0,27500,4.814644853468053e-05,-0.9999313700000001,-277.0769958496094,0.0015989196253940463,5499,-0.6305643320083618,383
73,5600,0.0007,32.0,28000,1.04541879863973e-06,-0.9999313700000001,-13.238447189331055,-0.000318109174259007,5599,-1.2219444513320923,383
74,5700,0.0007,32.0,28500,0.0005851830937899649,-0.9999441399999999,-15.221641540527344,0.008786777965724468,5699,-1.184078574180603,382
75,5800,0.0007,32.0,29000,0.0011840744409710169,-0.9999647399999999,0.5212783217430115,-0.0003017596900463104,5799,-0.6827020645141602,382
